time,data
1709813417507,0
1709813419609,0
1709813421716,0
1709813423797,0
1709813425892,0
1709813427987,0
1709813430087,0
1709813432185,0
1709813434281,0
1709813436373,0
1709813438470,0
1709813440564,0
1709813442657,0
1709813444763,0
1709813446852,0
1709813448948,0
1709813451050,0
1709813453142,0
1709813455241,0
1709813457347,0
1709813459431,0
1709813461527,0
1709813463623,0
1709813465718,0
1709813467823,0
1709813469917,0
1709813472029,0
1709813474106,0
1709813476200,0
1709813478294,0
1709813480397,0
1709813482490,0
1709813484588,0
1709813486680,0
1709813488778,0
1709813490873,0
1709813492971,0
1709813495083,0
1709813497159,0
1709813499257,0
1709813501354,0
1709813503453,0
1709813505544,0
1709813507648,0
1709813509747,0
1709813511835,0
1709813513931,0
1709813516029,0
1709813518121,0
1709813520224,0
1709813522314,0
1709813524415,0
1709813526507,0
1709813528604,0
1709813530705,0
1709813532797,0
1709813534892,0
1709813536993,0
1709813539093,0
1709813541190,0
1709813543279,0
1709813545384,0
1709813547469,0
1709813549568,0
1709813551672,0
1709813553761,0
1709813555854,0
1709813557960,0
1709813560046,0
1709813562144,0
1709813564250,0
1709813566339,0
1709813568450,0
1709813570538,0
1709813572631,0
1709813574722,0
1709813576822,0
1709813578915,0
1709813581014,0
1709813583110,0
1709813585203,0
1709813587303,0
1709813589396,0
1709813591494,0
1709813593591,0
1709813616606,0
1709813618724,0
1709813620832,0
1709813622959,0
1709813625059,0
1709813627177,0
1709813629288,0
1709813631399,0
1709813633525,0
1709813635622,0
1709813637737,0
1709813639850,0
1709813641963,0
1709813644074,0
1709813646188,0
