time,data
1709813417505,4095
1709813419604,2402
1709813421715,0
1709813423793,0
1709813425890,1040
1709813427985,0
1709813430080,1840
1709813432178,2791
1709813434277,0
1709813436372,0
1709813438465,0
1709813440563,0
1709813442656,0
1709813444758,2522
1709813446851,2522
1709813448947,2524
1709813451050,2521
1709813453140,2521
1709813455236,2522
1709813457346,2525
1709813459429,2523
1709813461525,2523
1709813463620,2524
1709813465716,2522
1709813467822,2523
1709813469916,2528
1709813472013,2524
1709813474104,2524
1709813476197,2519
1709813478294,2519
1709813480391,2523
1709813482485,2524
1709813484583,2523
1709813486678,2523
1709813488776,2527
1709813490872,2521
1709813492969,2522
1709813495065,0
1709813497158,0
1709813499256,0
1709813501352,0
1709813503448,0
1709813505542,0
1709813507646,2525
1709813509736,2523
1709813511833,2525
1709813513931,2523
1709813516029,2527
1709813518119,2525
1709813520221,2526
1709813522313,2527
1709813524414,2522
1709813526506,2527
1709813528602,2527
1709813530704,2527
1709813532794,2523
1709813534891,2529
1709813536988,2527
1709813539084,2527
1709813541188,2527
1709813543278,2526
1709813545372,2523
1709813547469,2528
1709813549567,2527
1709813551662,2526
1709813553761,2526
1709813555853,2527
1709813557959,2526
1709813560045,2525
1709813562143,2526
1709813564239,2525
1709813566338,2526
1709813568439,2527
1709813570534,2525
1709813572626,2525
1709813574718,2530
1709813576821,2527
1709813578914,2527
1709813581013,2526
1709813583106,2529
1709813585202,2527
1709813587298,2526
1709813589394,2528
1709813591493,2526
1709813593589,2526
1709813616606,2523
1709813618724,4095
1709813620830,4095
1709813622959,4095
1709813625057,4095
1709813627171,4095
1709813629285,4095
1709813631398,4095
1709813633514,4095
1709813635620,4095
1709813637736,4095
1709813639849,4095
1709813641962,4095
1709813644074,4095
1709813646187,4095
